"","shrJ0571","J0571","shrJ0571.BLJ","shrJ0571.JKD","shrJ0571.MGP","shrJ0571.NUC","shrJ0571.IME","shrJ0571.SCR","Average_Cortex","Average_Ground_Tissue","SCRdomain","CORE","GT_Asymmetric_Division_CYC","Quiescent_Center_AGL42","Average_LRC_and_Epidermis_II","Epidermis_gl2","LRC_Epidermis_WER","LRC_J3411","Columella_pet111","Stele_wol","Xylem_J2501","Xylem_S4","Xylem_S18","Average_xylem","Phloem_APL","Phloem_S32","Phloem_SUC2","Average_phloem","Pericycle_S17","JO121","Average_pericycle","X"
"ATCG00770",1.616394046,1.933015746,1.775879218,2.890830123,2.717232975,1.866019471,2.318685522,3.818500394,0.624803762,1.708697952,1.368854531,0.512972422,1.241499868,1.774573841,1.541498134,1.946928254,1.019227103,1.658339043,0.774585563,2.561734634,0.945151705,3.152368042,0.694646911,1.597388886,1.594397176,8.453947173,1.029435888,3.692593412,0.860333992,0.889964783,0.98630272,NA
"ATCG00780",7.39422136,5.902723801,6.289194318,5.970460311,8.400389389,4.064045124,6.078378164,7.415279441,1.004830014,2.876262589,1.609189744,0.673017433,5.320138379,3.012219033,1.861563437,2.706135046,0.827326026,2.051229239,0.859179284,3.64822295,2.079152418,5.321405798,1.588846716,2.996468311,4.285422278,15.52489014,2.17208334,7.327465252,1.765407787,1.426182504,1.672065839,NA
"ATCG00790",7.24430742,6.74510607,8.735208465,6.116270969,11.17547349,6.747514202,9.829535252,8.258035262,2.893897396,5.166259249,3.037219708,0.935817813,5.425867666,8.964233294,3.180067064,5.080092432,0.871413072,3.588695687,2.338616676,5.479729515,3.152304322,9.993660588,2.315566657,5.153843856,12.02969601,26.44378121,5.029476771,14.50098466,3.185240222,3.98988082,4.23388689,NA
"ATCG00800",8.504469608,8.518632997,8.311340461,6.137960864,11.12356182,7.332806168,10.59415652,8.547828551,2.528370421,4.39737898,2.40575787,1.10730582,5.275888195,7.445752042,3.340806485,3.507106836,4.30898146,2.206331161,2.427234151,3.1898866,3.554819734,8.072225011,2.104865212,4.577303319,9.477792814,16.29944855,6.214150068,10.66379714,2.760657203,2.946807877,3.226303471,NA
"ATCG00810",6.327971961,6.000173189,6.601420612,5.313378449,9.151034138,5.37388392,8.301240627,7.255970845,0.987611436,2.438128835,1.722922648,0.679779607,1.922258322,3.111592402,2.622211581,2.469307841,3.366173755,2.031153148,0.923952706,2.901835666,2.01482092,4.437337083,0.966084637,2.472747547,3.794318382,9.343829268,2.661641194,5.266596281,1.191173286,1.322975213,1.360656752,NA
"ATCG00820",7.811496462,6.996550528,8.369704288,7.412461764,10.1650807,6.036317048,8.387511235,8.880483418,4.261437201,7.188637168,4.123047512,2.408366369,7.978320665,12.36891816,5.020884887,7.070983787,4.163867628,3.827803246,3.24641377,6.092870638,6.562554512,13.53483665,3.579040178,7.89214378,14.97044192,31.90877858,8.494049089,18.45775653,4.581566245,6.208127798,5.815849823,NA
"ATCG00160",1.932709211,3.602000833,3.177687518,2.047413937,4.93103291,4.017256605,4.855243736,3.108510655,2.662739032,4.534766331,3.179167204,0.869234706,3.935213683,7.209489615,2.827331827,3.442874876,2.237704291,2.801416315,3.201851644,4.937109638,3.953678725,10.55425532,1.947481465,5.485138503,10.28890802,15.70812135,5.970037237,10.65568887,4.219103015,5.994556052,5.484216337,NA
"ATCG00170",0.712386176,1.066129231,0.783328082,1.02994468,1.042783782,0.964535354,0.971817845,1.343686727,0.830069461,1.343630584,1.171022675,0.607001198,1.530354859,1.591588741,1.354663539,2.10527079,0.711397135,1.247322691,0.766654933,1.758372,1.685759195,2.074443593,0.618302293,1.459501694,2.601458746,16.4482422,1.322262626,6.790654523,0.745242836,1.228198242,1.066458955,NA
"ATCG00180",1.034651609,1.176590389,1.173619969,1.375651711,2.427146931,2.354576833,3.273532614,1.786347477,0.759815638,3.022884867,1.913941544,0.519543676,1.368823625,2.385231188,2.929768054,4.240203984,1.93170991,2.617390268,0.786612652,4.356014278,2.025116772,6.066842609,0.986186752,3.026048711,4.061562876,22.23114819,2.004200884,9.432303984,1.076301261,1.219625943,1.33768953,NA
"ATCG00210",0.985169067,1.186272641,0.998165761,1.361538998,0.984630007,1.112878047,1.070038557,1.619909216,0.798351005,1.726405478,2.35127027,0.663652522,0.746328619,4.540756517,2.027810529,2.836658388,1.20096415,2.045809048,1.122862707,3.151168369,1.248462339,1.011969479,0.887116812,1.049182877,1.073450704,6.592688629,0.946876904,2.871005412,0.786999128,1.110590574,1.245900372,NA
"ATCG00220",4.72154123,4.222041046,6.57135082,4.986761874,4.791271125,4.491548764,7.401024444,6.790651027,4.707588904,9.702604138,5.799586971,3.431923962,2.969937879,6.80535755,6.385760627,6.956737338,6.911849694,5.28869485,3.193168979,5.761545011,5.031768072,7.980785173,4.453152987,5.821902077,11.31328573,28.14718872,8.546951972,16.00247547,9.203633538,2.989558089,6.49641429,NA
"ATCG00300",1.737448187,1.985262692,3.118541914,3.587504088,3.790037362,4.450945009,7.173444916,5.066124301,4.848613892,7.300667823,2.64514672,1.081331384,2.271361804,4.92378903,3.131216157,5.129241514,1.720619464,2.543787492,1.406222201,3.338831636,2.492242969,5.589894389,1.676197222,3.252778193,10.12976532,27.59940502,5.826481526,14.51855062,7.68485398,1.903602004,5.221951703,NA
"ATCG00340",1.979814942,2.650411998,3.628900832,4.799549071,5.590611246,5.037304641,7.217945001,5.053372973,11.79368104,14.43515612,6.091388101,1.446167161,8.529345158,11.57533552,3.22257914,4.762598919,1.313125794,3.592012707,3.481387114,6.196193403,4.594720192,14.25797846,4.8780686,7.91025575,23.33066116,32.09599695,17.9442771,24.4569784,21.69446298,4.73380097,15.13560814,NA
"ATCG00360",1.136586118,1.605845102,1.828241505,3.36930992,3.141966386,2.275610226,3.575349082,3.908878607,0.770703219,2.268515777,1.856874808,0.61223102,1.109017346,2.109310715,1.674508954,2.415600994,0.721586787,1.88633908,0.669684994,2.957372863,1.081629002,2.936288507,0.914541955,1.644153155,4.151686857,12.38753763,2.020661636,6.186628707,0.959766741,0.856828497,1.034972687,NA
"ATCG00380",3.062359513,2.847658828,3.970948491,4.607632772,5.441324573,3.130015747,5.919178131,6.09413736,4.069205085,7.166617574,3.72726538,1.19427144,4.201556868,8.107460332,3.709394984,5.796116414,1.454663944,3.877404596,1.750573062,5.868916214,6.602802175,7.474065963,2.316857328,5.464575155,16.5928002,36.63602663,10.64619594,21.29167426,6.497203298,3.877957368,5.882420732,NA
"ATCG00440",1.880764141,1.987554012,2.133233325,1.788331486,2.492962132,2.65405478,3.506483321,2.589349989,3.670991637,4.639076935,1.754395938,2.0227293,3.660225299,6.002101344,1.909881683,2.852576599,1.306509015,1.570559434,2.054823772,2.06112547,4.11783792,6.256852186,1.411808107,3.928832738,8.079594839,16.89442403,6.060047347,10.34468874,5.418757312,1.932095542,3.971700642,NA
"ATCG00470",13.66599996,13.31489793,15.91011955,14.58912772,18.11012968,14.13111462,17.92339963,16.86184136,12.43399643,17.61315405,10.90878064,9.175237388,15.54438104,22.62517464,8.767222887,13.39880674,3.782950265,9.119911659,8.847839783,12.52889052,15.8979585,19.48357283,9.511720942,14.96441742,27.9230063,48.20211812,20.99088281,32.37200241,18.70871379,13.89287134,17.20770741,NA
"ATCG00480",9.887570034,10.71290348,11.74679777,9.39409584,13.43211115,9.85487066,14.39464401,11.85828581,6.634959454,9.596907805,8.197715608,4.632061664,5.386709471,16.09006321,7.517551602,9.809547727,4.395225196,8.347881884,5.408902374,10.1144391,3.29427174,9.46988118,4.605693588,5.789948836,13.75094923,17.47422675,10.92291954,14.04936517,10.31510604,9.441048145,10.36988686,NA
"ATCG00490",1.043480633,1.185220498,0.925894297,1.583116511,1.22456989,1.302161431,1.38454956,1.678841496,1.336834406,4.138665745,2.044749732,0.842666567,1.475203084,1.864801631,2.706494025,4.57723618,1.529796293,2.012449603,1.218353636,3.364576456,1.795670472,2.329113859,0.884942564,1.669908965,3.672555124,11.91197616,2.383012801,5.989181362,1.128419971,1.383258651,1.526243522,NA
"ATCG00500",1.712671464,3.40540733,1.796668528,4.371099781,5.152215704,6.042437725,4.85939626,5.196158985,1.60749879,4.796922379,4.86062757,1.659099007,3.004881369,1.65663845,2.926149896,4.044251628,1.408467105,3.325730956,0.770716357,5.50555637,1.929643593,4.777800508,2.048773912,2.918739337,2.672185651,11.74176279,1.871056004,5.428334816,1.850382254,1.218527435,1.762277302,NA
"ATCG00510",1.292768001,2.496511245,1.651104684,3.433586656,3.96296667,3.928371132,4.203108533,4.691135556,2.241811736,5.428355833,5.271581654,0.65458095,2.607934498,2.931482298,3.979285527,6.185129957,1.872730689,3.879995935,1.138896274,6.793979527,3.057184649,4.818060371,2.012228441,3.295824487,6.289264342,18.15102685,3.091239117,9.177176768,2.381741405,1.868801642,2.627901813,NA
"ATCG00530",0.801890741,1.154473251,0.958626655,2.263609949,2.145043341,2.560877402,2.318131042,2.512488274,1.527777721,4.244056005,4.14120491,0.690678289,1.487306015,2.38382039,2.706550225,3.959426643,1.472781357,2.687442677,0.903536717,5.198395284,1.856577774,2.461510735,1.551467692,1.956518733,3.996546636,15.56051133,2.878323858,7.478460607,1.800854648,1.125834611,1.651933254,NA
"ATCG00540",1.702776538,1.975703329,2.020937087,4.395748967,3.718613639,4.79968894,3.523717471,4.258366514,7.332753018,8.961155267,4.98477879,3.361186223,7.190200832,8.307849058,2.926595195,3.667846492,2.022571367,3.089367725,4.360567384,3.568229434,5.567060143,8.751537362,3.96400647,6.094201325,15.17245179,24.02199855,9.426289023,16.20691312,7.333919834,3.169953737,5.807947055,NA
"ATCG00080",2.255548959,1.822192987,3.04404213,2.26777648,3.315232402,3.401008724,4.405930996,2.877359446,2.341111466,4.025180129,1.813153108,1.063538739,1.944617226,3.935422679,2.400522971,3.218770334,1.685301963,2.297496617,1.386704447,3.295713546,2.274982923,3.901431012,1.398726185,2.525046707,7.218884742,12.82018577,5.44724799,8.495439499,2.973972789,1.214172139,2.456049632,NA
"ATCG00120",1.298543638,1.675942768,1.447360254,2.899036443,2.505440628,2.411996742,2.496254374,3.489185303,2.074548505,4.382743327,4.102475975,0.750165966,2.194920505,4.451476084,4.778433585,6.706360817,2.383150071,5.245789866,1.38955044,8.045580401,1.940944878,3.210562386,1.661210907,2.270906057,5.671520954,8.415525229,4.177724217,6.0882568,5.752770716,2.751510468,4.572699056,NA
"ATCG00130",0.787565406,1.15752056,1.015627629,1.2443187,1.509651702,1.452283791,1.424267563,1.629668021,1.28909169,2.523992155,1.816079798,0.722138645,1.738377982,1.612917409,1.904229456,2.74135253,0.91134172,2.059994117,0.814007582,2.980363741,1.345999831,2.522703961,0.983758091,1.617487295,3.416333307,9.82082342,1.891107294,5.042754674,2.184327407,0.839347929,1.570001698,NA
"ATCG00140",1.056080991,1.185364301,1.221237135,1.649579545,1.357076045,1.481503809,1.345253257,1.733593411,1.802112613,3.80743408,3.892782052,0.861502964,1.759929826,4.14187334,3.147318632,3.852834754,1.646708264,3.942412878,2.460481153,5.551114601,1.606312897,4.797754476,1.30529988,2.569789084,3.855054629,13.53763125,3.191635984,6.861440622,3.218200905,1.744427961,3.039401927,NA
"AT2G26570",0.69259966,1.174404245,0.803658772,1.123953098,0.8205056,1.151861473,1.026744168,1.105971121,1.49901567,2.461633805,2.287234267,1.414082203,1.071294243,1.109061975,0.958279728,0.910193927,1.045085617,0.91955964,1.057406637,1.022344103,0.919828329,1.12313409,1.897790971,1.313584463,1.385299132,1.499374435,1.58326546,1.489313009,2.083381273,1.414272616,1.89714633,NA
"AT2G26360",1.417962719,1.990433777,1.41696768,1.462241817,1.478047436,1.381737709,1.448574613,1.208092842,2.989915045,1.722583135,0.993544825,2.265472032,1.629101918,1.403822466,1.149796406,1.01836772,1.488860587,0.942160911,0.826042955,0.913337989,1.055303276,1.124846041,0.739536336,0.973228551,1.055187058,0.762623213,1.081313699,0.966374657,0.809540388,0.879487434,0.830840477,NA
"AT2G26380",1.32403392,2.250874989,1.150510151,1.269904208,0.835474909,2.315220079,1.639093866,1.484883957,2.854711719,2.852307383,4.094018478,4.776520284,0.746596898,1.075297847,0.964095333,0.758053586,0.544844834,1.589387579,0.987980365,1.688003528,1.058294601,0.48894591,1.111430001,0.886223504,4.868080113,3.200448459,6.853373025,4.973967199,6.739208942,2.571195353,4.474587681,NA
"AT2G26390",1.593859121,1.612701781,1.07739704,1.789889879,1.146572864,2.154304829,1.624241248,2.126875393,4.710624771,3.546686534,5.17862683,7.350457495,1.064525604,0.797714233,0.726573238,0.740676327,0.579012717,0.86003067,0.660255264,2.679590684,1.321343363,0.697500214,0.937286573,0.985376716,2.006015632,1.090224682,1.572305077,1.556181797,1.936408763,1.643966715,2.379298277,NA
"AT2G26600",1.560197161,1.966446629,1.958384834,1.928332638,1.458470664,2.505483485,1.82324502,1.812721153,2.825251397,3.196063663,2.747928799,2.629779666,1.568716306,1.877966907,1.432721942,1.162310985,1.720560873,1.415293969,2.022276334,2.126521151,1.639979986,2.225599529,3.074800552,2.313460022,6.493834131,6.521069194,3.49674017,5.503881165,4.41348693,3.024425279,3.831030515,NA
"AT2G26530",8.352167452,5.334614366,11.22973612,5.768516958,4.946228851,12.39374119,13.26283319,7.940831447,16.83187964,13.65641993,10.73447097,18.13281481,1.358263341,6.358555739,2.860525694,2.644068361,1.763533156,4.173975565,4.26776835,5.705754212,2.115102607,1.144068445,5.767862355,3.009011135,10.54218582,4.118542435,12.84178882,9.167505692,18.5433346,3.098957385,9.842202813,NA
"AT2G26430",2.265138757,1.515591082,2.036597659,1.44388776,1.721582748,1.616494033,1.904598257,1.611912983,1.975079057,1.813600131,1.589566587,2.335916191,1.773400944,2.131256136,1.483482094,1.356167483,1.560060154,1.534218645,2.299504822,1.282131132,1.9456519,3.172592297,2.77143451,2.629892902,2.023727595,2.125872187,1.934702131,2.028100638,2.62482878,1.582410693,2.07141775,NA
"AT2G26590",3.922360494,3.001716471,3.774668799,2.493982746,3.434253962,2.970998155,3.428002015,2.382921104,4.975975505,4.121157653,3.915560989,5.077026523,6.727983201,5.694268385,3.405130175,3.398663534,4.417416918,2.399310073,4.189124062,2.897850513,4.300244192,9.417642929,3.287173234,5.668353452,7.467449268,8.61560441,4.660874499,6.914642726,4.375627473,3.399071054,4.186911882,NA
"AT2G26510",5.935749949,2.758481382,6.886395801,3.712784136,5.761923138,5.781118107,7.376581647,3.589536821,9.491928449,5.407426964,2.994032235,9.339332708,8.841332486,7.913489325,3.605663987,3.688623163,3.687848236,3.440520563,11.18377039,2.111153068,1.832254124,4.099014654,1.865353131,2.59887397,2.909024503,1.630242403,3.140472537,2.559913148,3.56376367,1.209588335,2.350486826,NA
"ATCG00040",3.344737568,4.885667187,4.447633452,5.149662415,7.088153375,6.717135864,9.76030993,5.582823742,3.023307912,8.063523784,5.891694763,1.718588553,7.451419682,6.09069289,6.19346067,7.642848917,4.142161237,6.795371857,1.464002095,9.563689974,8.687350372,11.30635074,1.884486591,7.292729235,12.00198151,29.9549168,5.403193081,15.78669713,4.411791886,2.481501862,3.919667964,NA
"ATCG00070",2.021798562,1.709681851,3.330828516,2.436215356,3.146533116,3.445527644,4.503383869,3.420222715,1.135291528,2.50441644,1.790091709,0.806013105,0.889401506,2.489761704,2.639044865,3.508755839,1.410610882,2.997767873,0.996881237,3.929053858,1.07471907,1.493936737,0.746550861,1.105068889,2.478591543,8.716075641,3.529455929,4.908041038,1.186686919,0.996076506,1.193002336,NA
"AT2G23320",3.965667936,2.508590185,3.981323258,2.47005157,3.906492536,3.65777719,4.092965669,3.157821932,4.743793144,5.545761229,5.782978694,3.840116149,1.551149575,5.29008757,4.156238232,3.896462551,2.778135188,5.794116958,9.13242272,2.993876212,1.769464234,1.737697118,1.939151858,1.815437737,4.002524315,3.564046561,3.96867148,3.845080785,5.143940725,2.337870494,4.274944192,NA
"AT2G26480",0.786525199,1.059970426,0.909811488,0.846216252,0.840626908,1.341010822,0.89531125,0.93950123,1.02660964,0.900311893,0.692744726,1.110184208,0.575053955,0.650590579,0.682918884,0.778104712,0.569399919,0.701252021,0.670820607,0.680393237,0.831921479,0.499076945,0.592592377,0.641196934,0.529165813,0.631638281,0.545147452,0.568650515,0.540863467,0.737027391,0.630241076,NA
"AT2G39720",1.979416978,1.624477781,2.230133493,1.287060059,1.542381144,1.697642089,2.056784237,1.302573639,3.850733416,3.201544173,2.614700724,3.094766183,2.647372966,2.52640965,2.395963625,2.137654218,3.123297118,1.926939538,3.631304578,1.789689763,1.927439815,6.464767881,6.166406411,4.852871369,3.234635787,2.787926318,2.794002123,2.938854743,3.880951066,2.000446527,3.047698064,NA
"AT2G39770",9.31585283,7.762084663,8.574850204,9.398693499,7.774671637,10.20618761,8.858829185,8.396280477,10.00184624,7.078356371,6.609517082,10.76392308,2.512136372,4.503780197,13.86083408,7.742951031,16.10295873,17.73659247,28.04390363,6.218297137,1.608035612,4.543968459,5.798222624,3.983408898,3.730590039,2.364530356,3.331109796,3.14207673,5.975626256,3.575561833,6.321225009,NA
"AT2G39760",2.096705187,1.488196907,2.128995993,1.249736736,1.581895057,1.486456469,1.831800102,1.217070173,1.736555249,1.63123519,1.748822192,1.779422795,1.364436426,1.895286683,1.59684796,1.375920461,2.111424208,1.303199211,1.800870453,1.581231964,1.243463787,2.125562715,2.060090976,1.809705826,1.424872077,1.166251504,1.672809413,1.421310998,2.022827151,1.662325835,1.894546859,NA
"AT2G39795",2.946207088,1.846400761,2.421076746,1.341173515,2.679264518,1.739241061,2.309977946,1.392121701,1.196277293,1.168858055,1.057684808,1.609415131,4.344169926,2.588644346,1.781027983,1.541330628,2.624970285,1.176783036,1.305323671,1.5679891,1.804523069,4.252337942,0.580212429,2.212357813,1.290076415,1.351173686,2.000191784,1.547147295,1.147565124,1.296529786,1.2065346,NA
"AT2G39750",2.470066117,3.38193776,2.685520634,2.546532863,3.370781105,3.221501311,3.385530549,2.198220308,4.228295246,3.136901683,3.126432976,2.316124459,3.537675208,3.006442192,2.386954642,2.225107522,2.846987587,2.088768816,3.618551762,1.963265895,1.965393184,7.53545785,5.485832368,4.995561134,2.98162556,3.236988007,2.539944664,2.91951941,3.141773545,2.939428867,3.320623538,NA
"AT2G39840",1.343851038,1.102025396,1.289885987,1.045883147,1.092316821,1.198735321,1.268638493,1.096477608,2.01453882,1.96420377,1.735072739,2.010318188,2.393242754,2.571270256,1.495942566,1.387072861,1.750974412,1.349780425,3.153015964,1.447383584,1.323150508,2.996919204,1.739460365,2.019843359,2.096594225,1.876766852,2.177615746,2.050325607,3.371595,1.643040617,2.384931149,NA
